ISO,month,period,alertes_count
AFG,2003-01-01,200301,2
AFG,2003-02-01,200302,2
AFG,2003-03-01,200303,2
AFG,2003-04-01,200304,2
AFG,2003-05-01,200305,2
AFG,2003-06-01,200306,2
AFG,2003-07-01,200307,2
AFG,2003-08-01,200308,2
AFG,2003-09-01,200309,2
AFG,2003-10-01,200310,2
AFG,2003-11-01,200311,2
AFG,2003-12-01,200312,2
AFG,2004-01-01,200401,2
AFG,2004-02-01,200402,2
AFG,2004-03-01,200403,2
AFG,2004-04-01,200404,2
AFG,2004-05-01,200405,2
AFG,2004-06-01,200406,2
AFG,2004-07-01,200407,2
AFG,2004-08-01,200408,2
AFG,2004-09-01,200409,2
AFG,2004-10-01,200410,2
AFG,2004-11-01,200411,2
AFG,2004-12-01,200412,2
AFG,2005-01-01,200501,0
AFG,2005-02-01,200502,0
AFG,2005-03-01,200503,0
AFG,2005-04-01,200504,0
AFG,2005-05-01,200505,0
AFG,2005-06-01,200506,0
AFG,2005-07-01,200507,0
AFG,2005-08-01,200508,0
AFG,2005-09-01,200509,0
AFG,2005-10-01,200510,0
AFG,2005-11-01,200511,0
AFG,2005-12-01,200512,0
AFG,2006-01-01,200601,1
AFG,2006-02-01,200602,1
AFG,2006-03-01,200603,1
AFG,2006-04-01,200604,1
AFG,2006-05-01,200605,1
AFG,2006-06-01,200606,1
AFG,2006-07-01,200607,1
AFG,2006-08-01,200608,1
AFG,2006-09-01,200609,1
AFG,2006-10-01,200610,1
AFG,2006-11-01,200611,1
AFG,2006-12-01,200612,1
AFG,2007-01-01,200701,0
AFG,2007-02-01,200702,0
AFG,2007-03-01,200703,0
AFG,2007-04-01,200704,0
AFG,2007-05-01,200705,0
AFG,2007-06-01,200706,0
AFG,2007-07-01,200707,0
AFG,2007-08-01,200708,0
AFG,2007-09-01,200709,0
AFG,2007-10-01,200710,0
AFG,2007-11-01,200711,0
AFG,2007-12-01,200712,0
AFG,2008-01-01,200801,0
AFG,2008-02-01,200802,0
AFG,2008-03-01,200803,0
AFG,2008-04-01,200804,0
AFG,2008-05-01,200805,0
AFG,2008-06-01,200806,0
AFG,2008-07-01,200807,0
AFG,2008-08-01,200808,0
AFG,2008-09-01,200809,0
AFG,2008-10-01,200810,0
AFG,2008-11-01,200811,0
AFG,2008-12-01,200812,0
AFG,2009-01-01,200901,0
AFG,2009-02-01,200902,0
AFG,2009-03-01,200903,0
AFG,2009-04-01,200904,0
AFG,2009-05-01,200905,0
AFG,2009-06-01,200906,0
AFG,2009-07-01,200907,0
AFG,2009-08-01,200908,0
AFG,2009-09-01,200909,0
AFG,2009-10-01,200910,0
AFG,2009-11-01,200911,0
AFG,2009-12-01,200912,0
AFG,2010-01-01,201001,1
AFG,2010-02-01,201002,1
AFG,2010-03-01,201003,1
AFG,2010-04-01,201004,1
AFG,2010-05-01,201005,1
AFG,2010-06-01,201006,1
AFG,2010-07-01,201007,1
AFG,2010-08-01,201008,1
AFG,2010-09-01,201009,1
AFG,2010-10-01,201010,1
AFG,2010-11-01,201011,1
AFG,2010-12-01,201012,1
AFG,2011-01-01,201101,0
AFG,2011-02-01,201102,0
AFG,2011-03-01,201103,0
AFG,2011-04-01,201104,0
AFG,2011-05-01,201105,0
AFG,2011-06-01,201106,0
AFG,2011-07-01,201107,0
AFG,2011-08-01,201108,0
AFG,2011-09-01,201109,0
AFG,2011-10-01,201110,0
AFG,2011-11-01,201111,0
AFG,2011-12-01,201112,0
AFG,2012-01-01,201201,0
AFG,2012-02-01,201202,0
AFG,2012-03-01,201203,0
AFG,2012-04-01,201204,0
AFG,2012-05-01,201205,0
AFG,2012-06-01,201206,0
AFG,2012-07-01,201207,0
AFG,2012-08-01,201208,0
AFG,2012-09-01,201209,0
AFG,2012-10-01,201210,0
AFG,2012-11-01,201211,0
AFG,2012-12-01,201212,0
AFG,2013-01-01,201301,0
AFG,2013-02-01,201302,0
AFG,2013-03-01,201303,0
AFG,2013-04-01,201304,0
AFG,2013-05-01,201305,0
AFG,2013-06-01,201306,0
AFG,2013-07-01,201307,0
AFG,2013-08-01,201308,0
AFG,2013-09-01,201309,0
AFG,2013-10-01,201310,0
AFG,2013-11-01,201311,0
AFG,2013-12-01,201312,0
AFG,2014-01-01,201401,0
AFG,2014-02-01,201402,0
AFG,2014-03-01,201403,0
AFG,2014-04-01,201404,0
AFG,2014-05-01,201405,0
AFG,2014-06-01,201406,0
AFG,2014-07-01,201407,0
AFG,2014-08-01,201408,0
AFG,2014-09-01,201409,0
AFG,2014-10-01,201410,0
AFG,2014-11-01,201411,0
AFG,2014-12-01,201412,0
AFG,2015-01-01,201501,0
AFG,2015-02-01,201502,0
AFG,2015-03-01,201503,0
AFG,2015-04-01,201504,0
AFG,2015-05-01,201505,0
AFG,2015-06-01,201506,0
AFG,2015-07-01,201507,0
AFG,2015-08-01,201508,0
AFG,2015-09-01,201509,0
AFG,2015-10-01,201510,0
AFG,2015-11-01,201511,0
AFG,2015-12-01,201512,0
AFG,2016-01-01,201601,0
AFG,2016-02-01,201602,0
AFG,2016-03-01,201603,0
AFG,2016-04-01,201604,0
AFG,2016-05-01,201605,0
AFG,2016-06-01,201606,0
AFG,2016-07-01,201607,0
AFG,2016-08-01,201608,0
AFG,2016-09-01,201609,0
AFG,2016-10-01,201610,0
AFG,2016-11-01,201611,0
AFG,2016-12-01,201612,0
AFG,2017-01-01,201701,0
AFG,2017-02-01,201702,0
AFG,2017-03-01,201703,0
AFG,2017-04-01,201704,0
AFG,2017-05-01,201705,0
AFG,2017-06-01,201706,0
AFG,2017-07-01,201707,0
AFG,2017-08-01,201708,0
AFG,2017-09-01,201709,0
AFG,2017-10-01,201710,0
AFG,2017-11-01,201711,0
AFG,2017-12-01,201712,0
AFG,2018-01-01,201801,0
AFG,2018-02-01,201802,0
AFG,2018-03-01,201803,0
AFG,2018-04-01,201804,0
AFG,2018-05-01,201805,0
AFG,2018-06-01,201806,0
AFG,2018-07-01,201807,0
AFG,2018-08-01,201808,0
AFG,2018-09-01,201809,0
AFG,2018-10-01,201810,0
AFG,2018-11-01,201811,0
